sku_ref_id,geographic_hub,weave_category,jacquard_capacity,zari_configuration,warp_denier,weft_denier,zari_wire_denier,warp_net_weight_g,weft_net_weight_g,zari_net_weight_g,bobbin_waste_weight_g,total_saree_weight_g,yarn_raw_cost_inr,zari_raw_cost_inr,labor_surcharge_inr,total_mfg_cost_inr,mrp_inr,selling_price_inr,min_floor_price_inr,weight_category_profile
SKU-0131,Gadwal,South Tied-Dye Ikat,2400 Hooks,1Gram Gold Zari,19/21 D,23/25 D,55 Denier,39,53,454,25,571,481,6129,3213,9823,34380,24066,13261,Standard Mid-Weight Saree
SKU-0132,Gadwal,South Tied-Dye Ikat,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,481,2632,3213,6326,22141,15498,8540,Standard Mid-Weight Saree
SKU-0133,Gadwal,South Tied-Dye Ikat,2400 Hooks,5G Gold Zari,19/21 D,23/25 D,70 Denier,39,53,1144,25,571,481,15444,3213,19138,66983,46888,25836,Standard Mid-Weight Saree
SKU-0134,Gadwal,South Tied-Dye Ikat,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,481,12109,2916,15506,54271,37989,20933,Ultra-Heavy Royal Heritage Pattu
SKU-0135,Gadwal,South Tied-Dye Ikat,5400 Hooks,3G Gold Zari,22/24 D,28/30 D,40 Denier,45,64,385,45,1051,481,5197,2916,8594,30079,21055,11601,Ultra-Heavy Royal Heritage Pattu
SKU-0136,Gadwal,South Tied-Dye Ikat,640 Hooks,3G Gold Zari,16/18 D,20/22 D,50 Denier,33,47,51,9,209,481,688,2808,3977,13919,9743,5368,Lightweight Dress Silk
SKU-0137,Gadwal,South Tied-Dye Ikat,640 Hooks,5G Gold Zari,16/18 D,20/22 D,55 Denier,33,47,302,9,209,481,4077,2808,7366,25781,18046,9944,Lightweight Dress Silk
SKU-0138,Ilkal,Deccan Zari Bordered,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,425,7063,2652,10140,35490,24843,13689,Lightweight Dress Silk
SKU-0139,Ilkal,Deccan Zari Bordered,1534 Hooks,1Gram Gold Zari,18/20 D,22/24 D,50 Denier,37,51,346,20,454,425,4411,2907,7743,27100,18970,10453,Standard Mid-Weight Saree
SKU-0140,Ilkal,Deccan Zari Bordered,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,425,2907,2907,6239,21836,15285,8422,Standard Mid-Weight Saree
SKU-0141,Ilkal,Deccan Zari Bordered,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,425,11105,2907,14437,50529,35370,19489,Standard Mid-Weight Saree
SKU-0142,Ilkal,Deccan Zari Bordered,2400 Hooks,1Gram Gold Zari,19/21 D,23/25 D,55 Denier,39,53,454,25,571,425,5788,2626,8839,30936,21655,11932,Standard Mid-Weight Saree
SKU-0143,Ilkal,Deccan Zari Bordered,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,425,3812,2626,6863,24020,16814,9265,Standard Mid-Weight Saree
SKU-0144,Ilkal,Deccan Zari Bordered,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,425,2486,2626,5537,19379,13565,7474,Standard Mid-Weight Saree
SKU-0145,Ilkal,Deccan Zari Bordered,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,425,7624,3009,11058,38703,27092,14928,Heavy Bridal Brocade
SKU-0146,Ilkal,Deccan Zari Bordered,2688 Hooks,2G Gold Zari,20/22 D,24/26 D,65 Denier,41,56,394,31,725,425,5023,3009,8457,29599,20719,11416,Heavy Bridal Brocade
SKU-0147,Ilkal,Deccan Zari Bordered,2688 Hooks,3G Gold Zari,20/22 D,24/26 D,70 Denier,41,56,257,31,725,425,3276,3009,6710,23485,16439,9058,Heavy Bridal Brocade
SKU-0148,Ilkal,Deccan Zari Bordered,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,425,19201,3009,22635,79222,55455,30557,Heavy Bridal Brocade
SKU-0149,Ilkal,Deccan Zari Bordered,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,425,11436,2754,14615,51152,35806,19730,Ultra-Heavy Royal Heritage Pattu
SKU-0150,Ilkal,Deccan Zari Bordered,5400 Hooks,3G Gold Zari,22/24 D,28/30 D,40 Denier,45,64,385,45,1051,425,4908,2754,8087,28304,19813,10917,Ultra-Heavy Royal Heritage Pattu
SKU-0151,Ilkal,Deccan Zari Bordered,5400 Hooks,5G Gold Zari,22/24 D,28/30 D,45 Denier,45,64,2260,45,1051,425,28815,2754,31994,111979,78385,43191,Ultra-Heavy Royal Heritage Pattu
SKU-0152,Ilkal,Deccan Zari Bordered,640 Hooks,1Gram Gold Zari,16/18 D,20/22 D,40 Denier,33,47,120,9,209,425,1530,2575,4530,15855,11098,6115,Lightweight Dress Silk
SKU-0153,Ilkal,Deccan Zari Bordered,640 Hooks,2G Gold Zari,16/18 D,20/22 D,45 Denier,33,47,79,9,209,425,1007,2575,4007,14024,9817,5409,Lightweight Dress Silk
SKU-0154,Ilkal,Deccan Zari Bordered,640 Hooks,3G Gold Zari,16/18 D,20/22 D,50 Denier,33,47,51,9,209,425,650,2575,3650,12775,8942,4927,Lightweight Dress Silk
SKU-0155,Ilkal,North Indian Katan,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,442,1198,2754,4394,15379,10765,5931,Lightweight Dress Silk
SKU-0156,Ilkal,North Indian Katan,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,442,7063,2754,10259,35906,25134,13849,Lightweight Dress Silk
SKU-0157,Ilkal,North Indian Katan,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,442,2907,2575,5924,20734,14513,7997,Standard Mid-Weight Saree
SKU-0158,Ilkal,North Indian Katan,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,442,11105,2575,14122,49427,34598,19064,Standard Mid-Weight Saree
SKU-0159,Ilkal,North Indian Katan,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,442,3812,3034,7288,25508,17855,9838,Standard Mid-Weight Saree
SKU-0160,Ilkal,North Indian Katan,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,442,2486,3034,5962,20867,14606,8048,Standard Mid-Weight Saree
SKU-0161,Ilkal,North Indian Katan,2400 Hooks,5G Gold Zari,19/21 D,23/25 D,70 Denier,39,53,1144,25,571,442,14586,3034,18062,63217,44251,24383,Standard Mid-Weight Saree
SKU-0162,Ilkal,North Indian Katan,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,442,7624,2703,10769,37691,26384,14538,Heavy Bridal Brocade
SKU-0163,Ilkal,North Indian Katan,2688 Hooks,2G Gold Zari,20/22 D,24/26 D,65 Denier,41,56,394,31,725,442,5023,2703,8168,28588,20011,11026,Heavy Bridal Brocade
SKU-0164,Ilkal,North Indian Katan,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,442,19201,2703,22346,78211,54747,30167,Heavy Bridal Brocade
SKU-0165,Ilkal,North Indian Katan,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,442,11436,2907,14785,51747,36223,19959,Ultra-Heavy Royal Heritage Pattu
SKU-0166,Ilkal,North Indian Katan,5400 Hooks,3G Gold Zari,22/24 D,28/30 D,40 Denier,45,64,385,45,1051,442,4908,2907,8257,28899,20229,11146,Ultra-Heavy Royal Heritage Pattu
SKU-0167,Ilkal,North Indian Katan,5400 Hooks,5G Gold Zari,22/24 D,28/30 D,45 Denier,45,64,2260,45,1051,442,28815,2907,32164,112574,78801,43421,Ultra-Heavy Royal Heritage Pattu
SKU-0168,Ilkal,North Indian Katan,640 Hooks,2G Gold Zari,16/18 D,20/22 D,45 Denier,33,47,79,9,209,442,1007,2958,4407,15424,10797,5949,Lightweight Dress Silk
SKU-0169,Ilkal,North Indian Katan,640 Hooks,5G Gold Zari,16/18 D,20/22 D,55 Denier,33,47,302,9,209,442,3850,2958,7250,25375,17762,9787,Lightweight Dress Silk
SKU-0170,Kanchipuram,South Indian Heavy Pattu,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,577,3630,3861,8068,28238,19766,10891,Lightweight Dress Silk
SKU-0171,Kanchipuram,South Indian Heavy Pattu,1534 Hooks,1Gram Gold Zari,18/20 D,22/24 D,50 Denier,37,51,346,20,454,577,5709,3564,9850,34475,24132,13297,Standard Mid-Weight Saree
SKU-0172,Kanchipuram,South Indian Heavy Pattu,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,577,4933,3399,8909,31181,21827,12027,Standard Mid-Weight Saree
SKU-0173,Kanchipuram,South Indian Heavy Pattu,2400 Hooks,5G Gold Zari,19/21 D,23/25 D,70 Denier,39,53,1144,25,571,577,18876,3399,22852,79982,55987,30850,Standard Mid-Weight Saree
SKU-0174,Kanchipuram,South Indian Heavy Pattu,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,577,9867,3729,14173,49605,34723,19133,Heavy Bridal Brocade
SKU-0175,Kanchipuram,South Indian Heavy Pattu,2688 Hooks,3G Gold Zari,20/22 D,24/26 D,70 Denier,41,56,257,31,725,577,4240,3729,8546,29911,20937,11537,Heavy Bridal Brocade
SKU-0176,Kanchipuram,South Indian Heavy Pattu,640 Hooks,2G Gold Zari,16/18 D,20/22 D,45 Denier,33,47,79,9,209,577,1303,3630,5510,19285,13499,7438,Lightweight Dress Silk
SKU-0177,Kanchipuram,South Indian Heavy Pattu,640 Hooks,3G Gold Zari,16/18 D,20/22 D,50 Denier,33,47,51,9,209,577,841,3630,5048,17668,12367,6814,Lightweight Dress Silk
SKU-0178,Kanchipuram,South Soft Crepe Silk,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,561,3630,3597,7788,27258,19080,10513,Lightweight Dress Silk
SKU-0179,Kanchipuram,South Soft Crepe Silk,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,561,1551,3597,5709,19981,13987,7707,Lightweight Dress Silk
SKU-0180,Kanchipuram,South Soft Crepe Silk,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,561,9141,3597,13299,46546,32582,17953,Lightweight Dress Silk
SKU-0181,Kanchipuram,South Soft Crepe Silk,2400 Hooks,1Gram Gold Zari,19/21 D,23/25 D,55 Denier,39,53,454,25,571,561,7491,3927,11979,41926,29348,16171,Standard Mid-Weight Saree
SKU-0182,Kanchipuram,South Soft Crepe Silk,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,561,4933,3927,9421,32973,23081,12718,Standard Mid-Weight Saree
SKU-0183,Kanchipuram,South Soft Crepe Silk,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,561,3217,3927,7705,26967,18877,10401,Standard Mid-Weight Saree
SKU-0184,Kanchipuram,South Soft Crepe Silk,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,561,9867,3729,14157,49549,34684,19111,Heavy Bridal Brocade
SKU-0185,Kanchipuram,South Soft Crepe Silk,2688 Hooks,3G Gold Zari,20/22 D,24/26 D,70 Denier,41,56,257,31,725,561,4240,3729,8530,29855,20898,11515,Heavy Bridal Brocade
SKU-0186,Kanchipuram,South Soft Crepe Silk,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,561,24849,3729,29139,101986,71390,39337,Heavy Bridal Brocade
SKU-0187,Kanchipuram,South Soft Crepe Silk,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,561,14800,3696,19057,66699,46689,25726,Ultra-Heavy Royal Heritage Pattu
SKU-0188,Maheshwar,Central Ribbed Weave,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,463,2970,2997,6430,22505,15753,8680,Lightweight Dress Silk
SKU-0189,Maheshwar,Central Ribbed Weave,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,463,3078,3050,6591,23068,16147,8897,Standard Mid-Weight Saree
SKU-0190,Maheshwar,Central Ribbed Weave,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,463,11758,3050,15271,53448,37413,20615,Standard Mid-Weight Saree
SKU-0191,Maheshwar,Central Ribbed Weave,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,463,4036,2943,7442,26047,18232,10046,Standard Mid-Weight Saree
SKU-0192,Maheshwar,Central Ribbed Weave,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,463,8073,3024,11560,40460,28322,15606,Heavy Bridal Brocade
SKU-0193,Maheshwar,Central Ribbed Weave,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,463,20331,3024,23818,83363,58354,32154,Heavy Bridal Brocade
SKU-0194,Maheshwar,Central Ribbed Weave,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,463,12109,2862,15434,54019,37813,20835,Ultra-Heavy Royal Heritage Pattu
SKU-0195,Maheshwar,Central Ribbed Weave,5400 Hooks,3G Gold Zari,22/24 D,28/30 D,40 Denier,45,64,385,45,1051,463,5197,2862,8522,29827,20878,11504,Ultra-Heavy Royal Heritage Pattu
SKU-0196,Maheshwar,Central Ribbed Weave,5400 Hooks,5G Gold Zari,22/24 D,28/30 D,45 Denier,45,64,2260,45,1051,463,30510,2862,33835,118422,82895,45677,Ultra-Heavy Royal Heritage Pattu
SKU-0197,Maheshwar,Deccan Fine Weave,1024 Hooks,2G Gold Zari,17/19 D,21/23 D,50 Denier,35,49,145,14,318,477,1957,3132,5566,19481,13636,7514,Lightweight Dress Silk
SKU-0198,Maheshwar,Deccan Fine Weave,1534 Hooks,1Gram Gold Zari,18/20 D,22/24 D,50 Denier,37,51,346,20,454,477,4671,2943,8091,28318,19822,10922,Standard Mid-Weight Saree
SKU-0199,Maheshwar,Deccan Fine Weave,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,477,3078,2943,6498,22743,15920,8772,Standard Mid-Weight Saree
SKU-0200,Maheshwar,Deccan Fine Weave,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,477,11758,2943,15178,53123,37186,20490,Standard Mid-Weight Saree
SKU-0201,Maheshwar,Deccan Fine Weave,2400 Hooks,1Gram Gold Zari,19/21 D,23/25 D,55 Denier,39,53,454,25,571,477,6129,2808,9414,32949,23064,12708,Standard Mid-Weight Saree
SKU-0202,Maheshwar,Deccan Fine Weave,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,477,2632,2808,5917,20709,14496,7987,Standard Mid-Weight Saree
SKU-0203,Maheshwar,Deccan Fine Weave,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,477,8073,3050,11600,40600,28420,15660,Heavy Bridal Brocade
SKU-0204,Maheshwar,Deccan Fine Weave,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,477,12109,3024,15610,54635,38244,21073,Ultra-Heavy Royal Heritage Pattu
SKU-0205,Maheshwar,Deccan Fine Weave,5400 Hooks,2G Gold Zari,22/24 D,28/30 D,70 Denier,45,64,592,45,1051,477,7992,3024,11493,40225,28157,15515,Ultra-Heavy Royal Heritage Pattu
SKU-0206,Maheshwar,Deccan Fine Weave,5400 Hooks,3G Gold Zari,22/24 D,28/30 D,40 Denier,45,64,385,45,1051,477,5197,3024,8698,30443,21310,11742,Ultra-Heavy Royal Heritage Pattu
SKU-0207,Maheshwar,Deccan Fine Weave,5400 Hooks,5G Gold Zari,22/24 D,28/30 D,45 Denier,45,64,2260,45,1051,477,30510,3024,34011,119038,83326,45914,Ultra-Heavy Royal Heritage Pattu
SKU-0208,Maheshwar,Deccan Fine Weave,640 Hooks,1Gram Gold Zari,16/18 D,20/22 D,40 Denier,33,47,120,9,209,477,1620,2862,4959,17356,12149,6694,Lightweight Dress Silk
SKU-0209,Maheshwar,Deccan Fine Weave,640 Hooks,3G Gold Zari,16/18 D,20/22 D,50 Denier,33,47,51,9,209,477,688,2862,4027,14094,9866,5436,Lightweight Dress Silk
SKU-0210,Maheshwar,Deccan Fine Weave,640 Hooks,5G Gold Zari,16/18 D,20/22 D,55 Denier,33,47,302,9,209,477,4077,2862,7416,25956,18169,10011,Lightweight Dress Silk
SKU-0211,Narayanpet,Central Ribbed Weave,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,454,2805,2830,6089,21311,14918,8220,Lightweight Dress Silk
SKU-0212,Narayanpet,Central Ribbed Weave,1024 Hooks,2G Gold Zari,17/19 D,21/23 D,50 Denier,35,49,145,14,318,454,1848,2830,5132,17962,12573,6928,Lightweight Dress Silk
SKU-0213,Narayanpet,Central Ribbed Weave,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,454,7063,2830,10347,36214,25350,13968,Lightweight Dress Silk
SKU-0214,Narayanpet,Central Ribbed Weave,1534 Hooks,1Gram Gold Zari,18/20 D,22/24 D,50 Denier,37,51,346,20,454,454,4411,2881,7746,27111,18977,10457,Standard Mid-Weight Saree
SKU-0215,Narayanpet,Central Ribbed Weave,2400 Hooks,1Gram Gold Zari,19/21 D,23/25 D,55 Denier,39,53,454,25,571,454,5788,2779,9021,31573,22101,12178,Standard Mid-Weight Saree
SKU-0216,Narayanpet,Central Ribbed Weave,2688 Hooks,2G Gold Zari,20/22 D,24/26 D,65 Denier,41,56,394,31,725,454,5023,2856,8333,29165,20415,11249,Heavy Bridal Brocade
SKU-0217,Narayanpet,Central Ribbed Weave,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,454,19201,2856,22511,78788,55151,30389,Heavy Bridal Brocade
SKU-0218,Narayanpet,Central Ribbed Weave,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,454,11436,2703,14593,51075,35752,19700,Ultra-Heavy Royal Heritage Pattu
SKU-0219,Narayanpet,Central Ribbed Weave,5400 Hooks,2G Gold Zari,22/24 D,28/30 D,70 Denier,45,64,592,45,1051,454,7548,2703,10705,37467,26227,14451,Ultra-Heavy Royal Heritage Pattu
SKU-0220,Narayanpet,Central Ribbed Weave,5400 Hooks,5G Gold Zari,22/24 D,28/30 D,45 Denier,45,64,2260,45,1051,454,28815,2703,31972,111902,78331,43162,Ultra-Heavy Royal Heritage Pattu
SKU-0221,Narayanpet,Central Ribbed Weave,640 Hooks,3G Gold Zari,16/18 D,20/22 D,50 Denier,33,47,51,9,209,454,650,2575,3679,12876,9013,4966,Lightweight Dress Silk
SKU-0222,Narayanpet,Central Ribbed Weave,640 Hooks,5G Gold Zari,16/18 D,20/22 D,55 Denier,33,47,302,9,209,454,3850,2575,6879,24076,16853,9286,Lightweight Dress Silk
SKU-0223,Narayanpet,Deccan Cotton-Silk,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,433,2805,2703,5941,20793,14555,8020,Lightweight Dress Silk
SKU-0224,Narayanpet,Deccan Cotton-Silk,1024 Hooks,2G Gold Zari,17/19 D,21/23 D,50 Denier,35,49,145,14,318,433,1848,2703,4984,17444,12210,6728,Lightweight Dress Silk
SKU-0225,Narayanpet,Deccan Cotton-Silk,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,433,1198,2703,4334,15169,10618,5850,Lightweight Dress Silk
SKU-0226,Narayanpet,Deccan Cotton-Silk,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,433,7063,2703,10199,35696,24987,13768,Lightweight Dress Silk
SKU-0227,Narayanpet,Deccan Cotton-Silk,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,433,2907,2856,6196,21686,15180,8364,Standard Mid-Weight Saree
SKU-0228,Narayanpet,Deccan Cotton-Silk,1534 Hooks,3G Gold Zari,18/20 D,22/24 D,60 Denier,37,51,148,20,454,433,1887,2856,5176,18116,12681,6987,Standard Mid-Weight Saree
SKU-0229,Narayanpet,Deccan Cotton-Silk,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,433,11105,2856,14394,50379,35265,19431,Standard Mid-Weight Saree
SKU-0230,Narayanpet,Deccan Cotton-Silk,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,433,2486,2983,5902,20657,14459,7967,Standard Mid-Weight Saree
SKU-0231,Narayanpet,Deccan Cotton-Silk,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,433,7624,2932,10989,38461,26923,14835,Heavy Bridal Brocade
SKU-0232,Narayanpet,Deccan Cotton-Silk,2688 Hooks,5G Gold Zari,20/22 D,24/26 D,40 Denier,41,56,1506,31,725,433,19201,2932,22566,78981,55286,30464,Heavy Bridal Brocade
SKU-0233,Narayanpet,Deccan Cotton-Silk,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,433,11436,2983,14852,51982,36387,20050,Ultra-Heavy Royal Heritage Pattu
SKU-0234,Narayanpet,Deccan Cotton-Silk,640 Hooks,1Gram Gold Zari,16/18 D,20/22 D,40 Denier,33,47,120,9,209,433,1530,2881,4844,16954,11867,6539,Lightweight Dress Silk
SKU-0235,Narayanpet,Deccan Cotton-Silk,640 Hooks,5G Gold Zari,16/18 D,20/22 D,55 Denier,33,47,302,9,209,433,3850,2881,7164,25074,17551,9671,Lightweight Dress Silk
SKU-0236,Paithan,Deccan Kasuti Silk,1024 Hooks,2G Gold Zari,17/19 D,21/23 D,50 Denier,35,49,145,14,318,540,2175,3570,6285,21997,15398,8484,Lightweight Dress Silk
SKU-0237,Paithan,Deccan Kasuti Silk,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,540,1410,3570,5520,19320,13524,7452,Lightweight Dress Silk
SKU-0238,Paithan,Deccan Kasuti Silk,1024 Hooks,5G Gold Zari,17/19 D,21/23 D,60 Denier,35,49,554,14,318,540,8310,3570,12420,43470,30429,16767,Lightweight Dress Silk
SKU-0239,Paithan,Deccan Kasuti Silk,1534 Hooks,2G Gold Zari,18/20 D,22/24 D,55 Denier,37,51,228,20,454,540,3420,3240,7200,25200,17640,9720,Standard Mid-Weight Saree
SKU-0240,Paithan,Deccan Kasuti Silk,1534 Hooks,3G Gold Zari,18/20 D,22/24 D,60 Denier,37,51,148,20,454,540,2220,3240,6000,21000,14700,8100,Standard Mid-Weight Saree
SKU-0241,Paithan,Deccan Kasuti Silk,1534 Hooks,5G Gold Zari,18/20 D,22/24 D,65 Denier,37,51,871,20,454,540,13065,3240,16845,58957,41270,22740,Standard Mid-Weight Saree
SKU-0242,Paithan,Deccan Kasuti Silk,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,540,4485,3360,8385,29347,20543,11319,Standard Mid-Weight Saree
SKU-0243,Paithan,Deccan Kasuti Silk,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,540,2925,3360,6825,23887,16721,9213,Standard Mid-Weight Saree
SKU-0244,Paithan,Deccan Kasuti Silk,2688 Hooks,1Gram Gold Zari,20/22 D,24/26 D,60 Denier,41,56,598,31,725,540,8970,3270,12780,44730,31311,17253,Heavy Bridal Brocade
SKU-0245,Paithan,Deccan Kasuti Silk,2688 Hooks,3G Gold Zari,20/22 D,24/26 D,70 Denier,41,56,257,31,725,540,3855,3270,7665,26827,18779,10347,Heavy Bridal Brocade
SKU-0246,Paithan,Deccan Kasuti Silk,5400 Hooks,1Gram Gold Zari,22/24 D,28/30 D,65 Denier,45,64,897,45,1051,540,13455,3000,16995,59482,41637,22943,Ultra-Heavy Royal Heritage Pattu
SKU-0247,Paithan,Deccan Kasuti Silk,5400 Hooks,2G Gold Zari,22/24 D,28/30 D,70 Denier,45,64,592,45,1051,540,8880,3000,12420,43470,30429,16767,Ultra-Heavy Royal Heritage Pattu
SKU-0248,Paithan,Deccan Kasuti Silk,5400 Hooks,3G Gold Zari,22/24 D,28/30 D,40 Denier,45,64,385,45,1051,540,5775,3000,9315,32602,22821,12575,Ultra-Heavy Royal Heritage Pattu
SKU-0249,Paithan,Deccan Kasuti Silk,5400 Hooks,5G Gold Zari,22/24 D,28/30 D,45 Denier,45,64,2260,45,1051,540,33900,3000,37440,131040,91728,50544,Ultra-Heavy Royal Heritage Pattu
SKU-0250,Paithan,Deccan Kasuti Silk,640 Hooks,1Gram Gold Zari,16/18 D,20/22 D,40 Denier,33,47,120,9,209,540,1800,3120,5460,19110,13377,7371,Lightweight Dress Silk
SKU-0251,Paithan,Deccan Kasuti Silk,640 Hooks,2G Gold Zari,16/18 D,20/22 D,45 Denier,33,47,79,9,209,540,1185,3120,4845,16957,11870,6540,Lightweight Dress Silk
SKU-0252,Paithan,Deccan Kasuti Silk,640 Hooks,3G Gold Zari,16/18 D,20/22 D,50 Denier,33,47,51,9,209,540,765,3120,4425,15487,10841,5973,Lightweight Dress Silk
SKU-0253,Paithan,Deccan Kasuti Silk,640 Hooks,5G Gold Zari,16/18 D,20/22 D,55 Denier,33,47,302,9,209,540,4530,3120,8190,28665,20065,11056,Lightweight Dress Silk
SKU-0254,Paithan,South Indian Heavy Pattu,1024 Hooks,1Gram Gold Zari,17/19 D,21/23 D,45 Denier,35,49,220,14,318,540,3300,3510,7350,25725,18007,9922,Lightweight Dress Silk
SKU-0255,Paithan,South Indian Heavy Pattu,1024 Hooks,2G Gold Zari,17/19 D,21/23 D,50 Denier,35,49,145,14,318,540,2175,3510,6225,21787,15251,8403,Lightweight Dress Silk
SKU-0256,Paithan,South Indian Heavy Pattu,1024 Hooks,3G Gold Zari,17/19 D,21/23 D,55 Denier,35,49,94,14,318,540,1410,3510,5460,19110,13377,7371,Lightweight Dress Silk
SKU-0257,Paithan,South Indian Heavy Pattu,1534 Hooks,1Gram Gold Zari,18/20 D,22/24 D,50 Denier,37,51,346,20,454,540,5190,3240,8970,31395,21976,12109,Standard Mid-Weight Saree
SKU-0258,Paithan,South Indian Heavy Pattu,2400 Hooks,1Gram Gold Zari,19/21 D,23/25 D,55 Denier,39,53,454,25,571,540,6810,3090,10440,36540,25578,14094,Standard Mid-Weight Saree
SKU-0259,Paithan,South Indian Heavy Pattu,2400 Hooks,2G Gold Zari,19/21 D,23/25 D,60 Denier,39,53,299,25,571,540,4485,3090,8115,28402,19881,10955,Standard Mid-Weight Saree
SKU-0260,Paithan,South Indian Heavy Pattu,2400 Hooks,3G Gold Zari,19/21 D,23/25 D,65 Denier,39,53,195,25,571,540,2925,3090,6555,22942,16059,8849,Standard Mid-Weight Saree
SKU-0261,Paithan,South Indian Heavy Pattu,2400 Hooks,5G Gold Zari,19/21 D,23/25 D,70 Denier,39,53,1144,25,571,540,17160,3090,20790,72765,50935,28066,Standard Mid-Weight Saree
